CustomerID,Recency,Frequency,Monetary,Return_Value,Net_Monetary,R_Score,F_Score,M_Score,Customer_Segment
12346,326,1,77183.6,77183.6,0.0,1,1,1,Hibernating / Lost
12347,2,7,4310.0,0.0,4310.0,5,5,5,Champions
12348,75,4,1797.24,0.0,1797.24,2,4,4,At Risk
12349,19,1,1757.55,0.0,1757.55,4,1,4,Hibernating / Lost
12350,310,1,334.4,0.0,334.4,1,1,2,Hibernating / Lost
12352,36,8,2506.04,960.63,1545.4099999999999,3,5,4,Loyal Customers
12353,204,1,89.0,0.0,89.0,1,1,1,Hibernating / Lost
12354,232,1,1079.4,0.0,1079.4,1,1,4,At Risk
12355,214,1,459.4,0.0,459.4,1,1,2,Hibernating / Lost
12356,23,3,2811.43,0.0,2811.43,4,3,5,Loyal Customers
12357,33,1,6207.67,0.0,6207.67,4,1,5,Hibernating / Lost
12358,2,2,1168.06,0.0,1168.06,5,2,4,Hibernating / Lost
12359,58,4,6372.58,127.05,6245.53,3,4,5,Loyal Customers
12360,52,3,2662.06,0.0,2662.06,3,3,5,Loyal Customers
12361,287,1,189.9,0.0,189.9,1,1,1,Hibernating / Lost
12362,3,10,5226.23,71.65,5154.58,5,5,5,Champions
12363,110,2,552.0,0.0,552.0,2,2,3,At Risk
12364,8,4,1313.1,0.0,1313.1,5,4,4,Champions
12365,291,2,641.38,320.69,320.69,1,2,2,Hibernating / Lost
12367,4,1,168.9,0.0,168.9,5,1,1,Hibernating / Lost
12370,51,4,3545.69,0.0,3545.69,3,4,5,Loyal Customers
12371,45,2,1887.96,0.0,1887.96,3,2,4,Hibernating / Lost
12372,72,3,1298.04,0.0,1298.04,3,3,4,Loyal Customers
12373,311,1,364.6,0.0,364.6,1,1,2,Hibernating / Lost
12374,25,1,742.9300000000001,0.0,742.9300000000001,4,1,3,Hibernating / Lost
12375,11,2,457.5,2.08,455.42,5,2,2,Hibernating / Lost
12377,315,2,1628.12,0.0,1628.12,1,2,4,At Risk
12378,130,1,4008.62,0.0,4008.62,2,1,5,At Risk
12379,82,2,852.24,1.95,850.29,2,2,3,At Risk
12380,22,4,2724.81,4.25,2720.56,4,4,5,Champions
12381,5,5,1845.31,41.35,1803.96,5,4,4,Champions
12383,185,5,1850.56,11.25,1839.31,1,4,4,At Risk
12384,29,2,585.27,19.11,566.16,4,2,3,Hibernating / Lost
12386,338,2,401.9,0.0,401.9,1,2,2,Hibernating / Lost
12388,16,6,2780.66,0.0,2780.66,4,4,5,Champions
12390,80,1,549.84,0.0,549.84,2,1,3,At Risk
12391,22,1,460.89,0.0,460.89,4,1,2,Hibernating / Lost
12393,72,4,1582.6000000000001,0.0,1582.6000000000001,3,4,4,Loyal Customers
12394,64,2,1272.48,0.0,1272.48,3,2,4,Hibernating / Lost
12395,19,12,3018.63,20.35,2998.28,4,5,5,Champions
12397,36,2,2409.9,0.0,2409.9,3,2,5,Hibernating / Lost
12398,46,1,1635.6599999999999,0.0,1635.6599999999999,3,1,4,Hibernating / Lost
12399,119,4,1108.65,0.0,1108.65,2,4,4,At Risk
12401,303,1,84.3,0.0,84.3,1,1,1,Hibernating / Lost
12402,323,1,225.6,0.0,225.6,1,1,1,Hibernating / Lost
12403,50,1,427.7,18.0,409.7,3,1,2,Hibernating / Lost
12405,149,1,1710.39,0.0,1710.39,2,1,4,At Risk
12406,22,2,3415.3,134.55,3280.75,4,2,5,Hibernating / Lost
12407,50,5,1708.1200000000001,0.0,1708.1200000000001,3,4,4,Loyal Customers
12408,33,5,2888.55,45.980000000000004,2842.57,4,4,5,Champions
