Date,Forecasted_Revenue
2011-12-10,40313.13
2011-12-11,63870.37
2011-12-12,82004.66
2011-12-13,82081.95
2011-12-14,86551.8
2011-12-15,91252.86
2011-12-16,78682.3
2011-12-17,44862.25
2011-12-18,68419.49
2011-12-19,86553.79
2011-12-20,86631.07
2011-12-21,91100.93
2011-12-22,95801.98
2011-12-23,83231.43
2011-12-24,49411.38
2011-12-25,72968.62
2011-12-26,91102.92
2011-12-27,91180.2
2011-12-28,95650.05
2011-12-29,100351.11
2011-12-30,87780.56
2011-12-31,53960.5
2012-01-01,77517.74
2012-01-02,95652.04
2012-01-03,95729.33
2012-01-04,100199.18
2012-01-05,104900.24
2012-01-06,92329.68
2012-01-07,58509.63
2012-01-08,82066.87
